Country_of_Origin,Corrected_gen_Usage_18,Corrected_lamb_Usage_18,Corrected_pig_Usage_18,FBD_Test_2015,FBD_Test_2016,FBD_Test_2017,FBD_Test_2018,FBD_Pos_2015,FBD_Pos_2016,FBD_Pos_2017,FBD_Pos_2018,AMP_Test_N_2015,AMP_Test_N_2016,AMP_Test_N_2017,AMP_Test_N_2018,AMP_Pos_2015,AMP_Pos_2016,AMP_Pos_2017,AMP_Pos_2018,FBD_Prop_2015,FBD_Prop_2016,FBD_Prop_2017,FBD_Prop_2018,AMP_Res_Prop_2015,AMP_Res_Prop_2016,AMP_Res_Prop_2017,AMP_Res_Prop_2018,AMP_usage_2015,AMP_usage_2016,AMP_usage_2017,AMP_usage_2018
UK Livestock,0.656,0.6766,0.4455,,45,,3839,,45,,110,9,,4,,3,,2,,,1,,0.028653295,0.333333333,,0.5,,1.106162908,1.038448614,0.797695085,0.757621951
UK Human,,,,,,,,,,,,615,3454,3490,2989,131,798,726,532,,,,,0.21300813,0.231036479,0.208022923,0.177985948,,,,
